,id_station,hora,O3,PM10,PM2.5,Latitud,Longitud
0,ACO,0,18.281112737920935,33.22170900692841,,19.635501,-98.91200300000001
1,ACO,1,16.074662430500396,35.01255230125523,,19.635501,-98.91200300000001
2,ACO,7,4.617267165193746,41.01346562721474,,19.635501,-98.91200300000001
3,ACO,8,7.338104976141786,46.67259786476868,,19.635501,-98.91200300000001
4,ACO,9,16.397827562797012,44.92811387900356,,19.635501,-98.91200300000001
5,ACO,10,30.134297520661157,38.36204379562044,,19.635501,-98.91200300000001
6,ACO,11,43.21981856245638,35.41305942773294,,19.635501,-98.91200300000001
7,ACO,12,52.93611111111111,34.124542124542124,,19.635501,-98.91200300000001
8,ACO,13,58.82869080779944,31.52332361516035,,19.635501,-98.91200300000001
9,ACO,14,60.90324809951624,30.639593908629443,,19.635501,-98.91200300000001
10,ACO,15,60.76426116838488,31.665703971119132,,19.635501,-98.91200300000001
11,ACO,16,58.365870307167235,36.0336676217765,,19.635501,-98.91200300000001
12,ACO,17,53.37559972583961,41.08933717579251,,19.635501,-98.91200300000001
13,ACO,18,45.85940730530668,46.1671469740634,,19.635501,-98.91200300000001
14,ACO,19,37.143150684931506,50.812634601579326,,19.635501,-98.91200300000001
15,ACO,20,30.92940370116518,47.375,,19.635501,-98.91200300000001
16,ACO,21,26.78463648834019,40.65827338129496,,19.635501,-98.91200300000001
17,ACO,22,23.29226557152635,36.282124910265615,,19.635501,-98.91200300000001
18,ACO,23,20.572112098427887,34.781048097631015,,19.635501,-98.91200300000001
19,AJM,0,28.4890873015873,25.22912205567452,14.790149892933618,19.2721,-99.207658
20,AJM,1,29.072810011376564,23.380778588807786,14.16058394160584,19.2721,-99.207658
21,AJM,7,20.839080459770116,23.78680203045685,15.045685279187817,19.2721,-99.207658
22,AJM,8,19.78962536023055,27.66360856269113,16.732925586136595,19.2721,-99.207658
23,AJM,9,22.033428844317097,33.845286885245905,20.0922131147541,19.2721,-99.207658
24,AJM,10,29.195169082125602,39.44953173777315,23.525494276795005,19.2721,-99.207658
25,AJM,11,40.960668633235,42.61724500525762,26.110410094637224,19.2721,-99.207658
26,AJM,12,54.65403788634098,43.3649946638207,27.0042689434365,19.2721,-99.207658
27,AJM,13,67.50299401197604,44.65310492505353,28.17558886509636,19.2721,-99.207658
28,AJM,14,76.64059405940594,44.33828207847296,27.679745493107106,19.2721,-99.207658
29,AJM,15,80.4795719844358,43.64360587002096,26.57922350472193,19.2721,-99.207658
30,AJM,16,78.0019305019305,42.53050672182006,24.875904860392968,19.2721,-99.207658
31,AJM,17,70.49085659287776,40.98442367601246,22.920041536863966,19.2721,-99.207658
32,AJM,18,57.83783783783784,39.30785123966942,20.790289256198346,19.2721,-99.207658
33,AJM,19,47.43269230769231,37.26212590299278,19.08875128998968,19.2721,-99.207658
34,AJM,20,40.23800383877159,34.28541882109617,17.798345398138572,19.2721,-99.207658
35,AJM,21,33.47641963426371,32.24896694214876,17.332644628099175,19.2721,-99.207658
36,AJM,22,28.636100386100384,30.413471502590674,16.75544041450777,19.2721,-99.207658
37,AJM,23,27.75868725868726,27.620227038183696,15.620227038183694,19.2721,-99.207658
38,AJU,0,16.596864501679732,,13.011857707509881,19.154674,-99.162459
39,AJU,1,15.674534161490683,,16.10239651416122,19.154674,-99.162459
40,AJU,7,10.692063492063491,,13.495495495495495,19.154674,-99.162459
41,AJU,8,14.1553911205074,,14.859964093357272,19.154674,-99.162459
42,AJU,9,25.694179894179893,,14.327305605786618,19.154674,-99.162459
43,AJU,10,37.22104144527099,,13.499065420560747,19.154674,-99.162459
44,AJU,11,43.84,,19.4981884057971,19.154674,-99.162459
45,AJU,12,51.70594594594595,,24.86387434554974,19.154674,-99.162459
46,AJU,13,60.47891891891892,,27.110535405872195,19.154674,-99.162459
47,AJU,14,68.42703862660944,,26.917525773195877,19.154674,-99.162459
48,AJU,15,72.74946466809422,,25.808290155440414,19.154674,-99.162459
49,AJU,16,72.2771855010661,,24.809931506849313,19.154674,-99.162459
50,AJU,17,67.84132055378062,,24.23063683304647,19.154674,-99.162459
51,AJU,18,59.224119530416225,,23.915807560137456,19.154674,-99.162459
52,AJU,19,46.31149301825994,,23.901893287435456,19.154674,-99.162459
53,AJU,20,35.241711229946524,,21.38245614035088,19.154674,-99.162459
54,AJU,21,27.63957219251337,,16.97508896797153,19.154674,-99.162459
55,AJU,22,22.317596566523605,,15.061705989110708,19.154674,-99.162459
56,AJU,23,18.54741379310345,,14.796610169491526,19.154674,-99.162459
57,ATI,0,15.235173824130879,29.257771038665656,,19.576963,-99.254133
58,ATI,1,15.452064896755163,26.358333333333334,,19.576963,-99.254133
59,ATI,7,3.3665785997357993,48.96467195385725,,19.576963,-99.254133
60,ATI,8,5.04227212681638,65.26532083633742,,19.576963,-99.254133
61,ATI,9,12.421750663129973,57.957059679767106,,19.576963,-99.254133
62,ATI,10,22.560646900269543,52.05592841163311,,19.576963,-99.254133
63,ATI,11,34.116311080523054,48.992383853769994,,19.576963,-99.254133
64,ATI,12,46.189690721649484,45.31534309946029,,19.576963,-99.254133
65,ATI,13,56.79023383768914,39.07704280155642,,19.576963,-99.254133
66,ATI,14,62.93392370572207,37.4768875192604,,19.576963,-99.254133
67,ATI,15,63.638888888888886,39.66153846153846,,19.576963,-99.254133
68,ATI,16,60.23735670937289,40.74662668665667,,19.576963,-99.254133
69,ATI,17,52.78234501347709,45.702560240963855,,19.576963,-99.254133
70,ATI,18,41.92379679144385,49.5260029717682,,19.576963,-99.254133
