id_station,Longitud,Latitud,PM10
ACO,-98.912003,19.635501,38.56881486412322
AJM,-99.207658,19.2721,35.70908539536581
ATI,-99.254133,19.576963,43.97850485303792
BJU,-99.158969,19.371612,43.75339296267017
CAM,-99.169794,19.468404,52.23882834184917
CHO,-98.886088,19.266948,55.72986320329111
CUA,-99.29170500000001,19.365313,35.00549807829041
CUT,-99.19860200000001,19.722185999999997,57.90596007501563
FAC,-99.243524,19.482473000000002,43.74188943142271
HGM,-99.15220699999999,19.411617,46.40497171579533
INN,-99.38051999999999,19.291968,23.317701599401506
IZT,-99.117641,19.384413000000002,37.77825824742729
MER,-99.11959399999999,19.42461,55.864517716404464
MGH,-99.202603,19.40405,38.12690502209684
MPA,-98.990189,19.1769,37.32714633454296
PED,-99.204136,19.325146,43.99390271523263
SAG,-99.030324,19.532968,50.784305903520156
SFE,-99.262865,19.357357,40.78392835704035
TAH,-99.010564,19.246458999999998,44.98238195599633
TLA,-99.20459699999999,19.529076999999997,57.254826328949164
TLI,-99.177173,19.602542,50.440798820661996
UIZ,-99.07388,19.360794,50.58742035190059
VIF,-99.09659,19.658223,58.61747069198511
XAL,-99.0824,19.525995,71.57387055621751
