id_station,anio,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2,TMP,UVA,WSP,dia,hora,mes
ACO,2013,0.3019758507134981,8.037060105886017,13.85736530675802,21.891155403301152,35.748057196145474,41.03688917278825,,,2.740902701858504,17.644663011931648,,2.6608226462308355,15.580665216039788,13.636462542741684,6.622785203605844
ACO,2014,0.2842736879813713,8.004613018964633,13.313343584486589,21.307022039979497,33.931571022251966,33.21366054573537,,,2.2723893805309734,17.206141575274163,,2.4434266156633844,15.548435670068596,13.6155261837042,6.664882047850092
ACO,2015,0.2724883720930276,6.807259073842303,12.366207759699625,19.171964956195243,36.723954723954726,34.13434579439252,,,2.0732414793328497,18.170863561900322,,2.6479990638895408,15.906906906906906,13.55047355047355,4.5116655116655116
ACO,2016,0.2730415263748652,8.157236702691248,14.04619622801441,22.21402839584658,36.199789029535864,36.575619740732314,,,1.9624946420917273,18.061012658227842,,2.722299578059072,15.627215189873418,13.58860759493671,7.197046413502109
ACO,2017,0.34942508084800716,9.52114829284865,16.049261083743843,25.56939018175641,33.746395250212046,47.88355906696764,,,2.3742410303587858,17.210746625662047,,2.6385101657269763,15.634435962680238,13.632909245122985,6.850381679389313
AJM,2015,0.6535585231736073,6.927062138049773,20.53044294881828,27.471591798403505,43.07905816310619,34.8892606222817,21.398126463700233,13.4819337571094,3.218998596162845,16.434969825477097,,2.7846958680617244,15.993606736316856,13.585841259940745,6.599095587088726
AJM,2016,0.6026021132313564,6.0418314572558565,19.84727715241862,25.88850015211439,45.14358513189448,34.41134974133877,20.248196926936345,14.165856717353817,3.356172653184425,16.84030481364116,,2.88162586884255,15.639988009592326,13.578986810551559,6.519334532374101
AJM,2017,0.48776595744681883,5.293191982772901,19.346529733311247,24.632930263375847,46.60334754460761,37.82664582247698,20.804412020149382,17.032308494007296,3.899017121116043,16.704238494385496,,2.927540618031199,15.376125059213642,13.626717195641875,6.428706774040739
AJU,2015,,,,,38.36688150718889,,21.16301703163017,,,12.076383682469668,,2.298176890859824,15.889770285903156,13.537927615270203,6.6253511816228725
AJU,2016,,,,,39.78973185088293,,17.811588641596316,,,11.628659862807421,,2.588743362831858,15.601536952256376,13.59123610202747,6.554937867887508
AJU,2017,,,,,43.821349557522126,,22.086822388717497,,,11.368729158947735,,2.733685968819608,15.860803834808259,13.629793510324484,6.174225663716814
ATI,2013,0.7481069441952297,16.848132780082988,23.92896265560166,40.772946058091286,30.194115713346484,50.48467532467532,,,7.762905982905983,,,,15.9965483234714,13.458251150558842,6.964168310322156
ATI,2014,0.6529180327868926,15.329167400105614,22.392008449216686,37.7201196972364,30.737379067722074,47.559417652411284,,,5.567153670128499,,,,15.472647317502199,13.532102022867194,5.819349164467898
ATI,2015,0.6525389755011177,15.707098552722261,23.048702044566966,38.75465196416265,34.54596038281772,38.11506434519303,,,4.477333931777379,,,,15.645003338526596,13.567994658357446,4.535499666147341
ATI,2016,0.5389969488939752,12.68252974326863,20.465664788144437,33.150073053642245,30.245398773006134,41.769967439187894,,,5.15631047086648,,,,16.216397099832683,13.595463840862614,7.699758319390221
ATI,2017,0.5124881141045937,7.2592592592592595,20.074074074074073,27.382716049382715,31.424205001543687,41.96339950372209,,,6.860476746124354,,,,15.767675208397653,13.607131830811978,6.527940722445199
BJU,2015,0.7923106204796334,,,,29.281899109792285,43.26945189727865,26.387207966296437,16.916858237547892,6.180327868852459,18.398250186150356,,1.8784917275875328,15.423219584569733,13.573813056379821,9.956973293768545
BJU,2016,0.7549525316455696,,,,35.68546931407942,41.98428680396644,24.382478632478634,17.610831426392068,4.601758384890915,18.39772590361453,,1.8735692771084307,15.984957882069795,13.588598074608905,6.58679302045728
BJU,2017,0.6599344381715602,,,,38.2997326623683,46.00644018676542,25.38158106585091,20.62727419095154,5.293733056928719,18.446689731089748,,1.9688287682742387,15.39062745714735,13.622267652146563,6.5313728573675105
CAM,2013,0.8780648191639253,33.63764179581403,33.710177344623744,67.35341108803323,27.506649976529495,53.35432931156849,29.186479772888575,24.16820440028389,7.167230546157564,,,,15.474104209043968,13.496166484118291,6.655609450790173
CAM,2014,0.8489528377298186,32.309251389342926,35.10853220006538,67.41222621771821,28.402199904351985,51.17624865253324,27.37711103126123,23.806324110671937,5.501195600191296,,,,15.679100908656146,13.58424996014666,6.450980392156863
CAM,2015,0.9686696658097649,28.125956235545278,34.41149261697207,62.53958370396727,28.786541818758927,46.88328581610834,28.004276550249465,18.88310762651461,5.64661774090619,,,,15.718139977781304,13.572607522615458,6.259641326773528
CAM,2016,0.8910108864696694,25.897125097125098,33.236985236985234,59.131468531468535,30.591777472107594,52.20252277505256,25.50613174491941,26.692536790469518,5.785100734030923,,,,15.599113556472567,13.59406999847165,6.442457588262265
