id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
50,19.416938,-99.173648,50 CUERNAVACA-VERACRUZ,0901500011182,2617,-1.151346801023910,Muy bajo
54,19.416215,-99.170825,54 PARQUE ESPAÑA-SONORA,0901500011182,2617,-1.151346801023910,Muy bajo
57,19.414903,-99.17495,57 CUERNAVACA-JUAN ESCUTIA,0901500011182,2617,-1.151346801023910,Muy bajo
58,19.41568,-99.171793,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,0901500011182,2617,-1.151346801023910,Muy bajo
91,19.4374,-99.137571,91 REPUBLICA DE CUBA-ALLENDE,0901500010644,10430,-0.272420905913021,Medio
262,19.43693,-99.13395,262 REPUBLICA DE CUBA-REPUBLICA DE BRASIL ,0901500010644,10430,-0.272420905913021,Medio
41,19.435637,-99.150137,41 REFORMA-AV. DE LA REPUBLICA,0901500010714,2705,-0.822693395916304,Bajo
270,19.43676,-99.15387,270 DE LA REPUBLICA-PONCIANO ARRIAGA ,0901500010714,2705,-0.822693395916304,Bajo
450,19.43836,-99.152226,450 RAMOS ARIZPE-PUENTE DE ALVARADO,0901500010714,2705,-0.822693395916304,Bajo
259,19.43757,-99.15468,259 TÓMAS ALVA EDISON-PONCIANO ARRIAGA ,090150001070A,1860,-0.954122321258751,Bajo
162,19.404907,-99.162485,162 TEHUANTEPEC-MEDELLÍN,0901500011464,2546,-1.129029640369230,Muy bajo
165,19.404268,-99.160503,165 BAJÍO-EJE 2 PTE. MONTERREY,0901500011464,2546,-1.129029640369230,Muy bajo
7,19.425468,-99.175166,7 RIO ELBA-RIO LERMA,0901500010930,768,-0.966810845200354,Muy bajo
13,19.42502,-99.17231,13 REFORMA-RIO MISSISSIPPI,0901500010930,768,-0.966810845200354,Muy bajo
14,19.424768,-99.173261,14 REFORMA-RIO DE PLATA,0901500010930,768,-0.966810845200354,Muy bajo
15,19.425477,-99.171567,15 REFORMA-RIO MISSISSIPPI,0901500010930,768,-0.966810845200354,Muy bajo
16,19.427226,-99.168242,16 REFORMA-RÍO TIBER,0901500010930,768,-0.966810845200354,Muy bajo
17,19.427501,-99.167125,17 REFORMA-RIO TIBER,0901500010930,768,-0.966810845200354,Muy bajo
261,19.42495,-99.17246,261 PASEO DE LA REFORMA - RÍO DE LA PLATA,0901500010930,768,-0.966810845200354,Muy bajo
5,19.42972,-99.169363,5 RIO PANUCO-RIO TIBER,0901500010822,4100,-1.332498456744350,Muy bajo
6,19.430922,-99.166959,6 RIO PANUCO-RIO SENA,0901500010822,4100,-1.332498456744350,Muy bajo
1,19.4335714,-99.1678091,1 RIO SENA-RIO BALSAS,0901500010790,2664,-1.062629648771510,Muy bajo
11,19.430992,-99.163593,11 RIO AMAZONAS-RIO LERMA,0901500010790,2664,-1.062629648771510,Muy bajo
12,19.432313,-99.161597,12 RIO LERMA-VILLALONGIN,0901500010790,2664,-1.062629648771510,Muy bajo
257,19.4338,-99.16622,E257 MANUEL MARIA CONTRERAS-VILLALONGIN ,0901500010790,2664,-1.062629648771510,Muy bajo
155,19.408218,-99.159911,E155 JALAPA-TLAXCALA,090150001138A,630,-1.145549058539170,Muy bajo
158,19.407447,-99.155717,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,090150001138A,630,-1.145549058539170,Muy bajo
