ID,Nombre,Dirección,Número,Código po,districtCo,Colonia,altitude,nearbyStat,location/l,location_1,Tipo de es,nearbySt_1,nearbySt_2,nearbySt_3,nearbySt_4,nearbySt_5,punto_geo,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_I,DISPLAY_NA
"361",361 PORFIRIO DÍAZ-CAPULÍN,361 - Porfirio Díaz-Capulín,S/N,"3100","1",Ampliación Granada,,"354",19.380709000000000,-99.175079999999994,BIKE,"369","370",,,,"19.380709,-99.17508","0581","014","0001","09","4589",Movement Zone 4589
"355",355 CALIFORNIA-SACRAMENTO,355 - California-Sacramento,S/N,"3100",ISB,Insurgentes San Borja,,"345",19.382050000000000,-99.173291000000006,BIKE,"361",,,,,"19.38205,-99.173291","0581","014","0001","09","4589",Movement Zone 4589
"345",345 MIRAFLORES-PATRICIO SANZ,345 - Miraflores-Patricio Sanz,S/N,"3100",ISB,Insurgentes San Borja,,"334",19.384498000000001,-99.172223000000002,BIKE,"335","346",,,,"19.384498,-99.172223","0581","014","0001","09","4589",Movement Zone 4589
"350",350 JOSE CLEMENTE OROZCO-CORREGGIO,350 - Jose Clemente Orozco-Correggio,S/N,"3710","1",Ampliación Granada,,"349",19.384062000000000,-99.181482000000003,BIKE,"352",,,,,"19.384062,-99.181482","0562","014","0001","09","4590",Movement Zone 4590
"363",363 HOLBEIN-PAULO UCELLO,363 - Holbein-Paulo Ucello,S/N,"3710",CDD,Ciudad de los Deportes,,"362",19.380813000000000,-99.183851000000004,BIKE,"365","367",,,,"19.380813,-99.183851","0562","014","0001","09","4590",Movement Zone 4590
"352",352 TINTORETO-GIORGINE,352 - Tintoreto-Giorgine,S/N,"3700",SMN,Santa María Nonoalco,,"351",19.384114000000000,-99.185446999999996,"BIKE,TPV","364","365",,,,"19.384114,-99.185447","0558","014","0001","09","4593",Movement Zone 4593
"365",365 HOLBEIN-AVENIDA REVOLUCIÓN,365 - Holbein-Avenida Revolución,S/N,"3700",SMN,Santa María Nonoalco,,"352",19.381117000000000,-99.186687000000006,BIKE,"363","364",,,,"19.381117,-99.186687","0558","014","0001","09","4593",Movement Zone 4593
"364",364 BOTICHELLI-CDA. DE GIORGONE,364 - Botichelli-Cda. De Giorgone,S/N,"3700",SMN,Santa María Nonoalco,,"351",19.383063000000000,-99.185857999999996,BIKE,"352","365",,,,"19.383063,-99.185858","0558","014","0001","09","4593",Movement Zone 4593
"388",388 VALENCIA-MALAGA,388 - Valencia-Malaga,S/N,"3920",INM,Insurgentes Mixcoac,,"387",19.373038000000001,-99.181354999999996,BIKE,"389","390",,,,"19.373038,-99.181355","0793","014","0001","09","4597",Movement Zone 4597
"417",417 GOYA-AUGUSTO RODÍN,417 - Goya-Augusto Rodín,S/N,"3920",INM,Insurgentes Mixcoac,,"384",19.373262000000000,-99.184332999999995,"BIKE,TPV","385","386",,,,"19.373262,-99.184333","0793","014","0001","09","4597",Movement Zone 4597
