ID,Nombre,Dirección,Número,Código postal,location/lat,location/lon,Tipo de estación,punto_geo,cvegeo
127,127 PUEBLA-MERIDA,127 -  Puebla-Merida,S/N,,19.423318,-99.15833,BIKE,"19.423318,-99.15833",0901500011017
132,132 COLIMA-FRONTERA,132 - Colima-Frontera,S/N,,19.420667,-99.15645,BIKE,"19.420667,-99.15645",0901500011017
137,137 ÁLVARO OBREGÓN-MÉRIDA,137 - Álvaro Obregón-Mérida,S/N,,19.418774,-99.157081,BIKE,"19.418774,-99.157081",0901500011017
133,133 COLIMA-MORELIA,133 - Colima-Morelia,S/N,,19.421138,-99.154725,BIKE,"19.421138,-99.154725",0901500011017
125,125 MORELIA-CIRCULAR DE MORELIA,125 - Morelia-Circular de Morelia,S/N,6500,19.424541,-99.156204,BIKE,"19.424541,-99.156204",0901500011017
130,130 MÉRIDA-DURANGO,130 - Mérida-Durango,S/N,,19.421576,-99.158015,BIKE,"19.421576,-99.158015",0901500011017
135,135 ÁLVARO OBREGÓN-MORELIA,135 - Álvaro Obregón-Morelia,S/N,,19.419225,-99.155099,"BIKE,TPV","19.419225,-99.155099",0901500011017
98,98 EMILIO DONDE-AV. BALDERAS,098 - Emilio Dondé-Av. Balderas,S/N,6500,19.430267,-99.14861,BIKE,"19.430267,-99.14861",0901500010860
108,E108 TOLSA-BALDERAS,108 - Tolsa-Balderas,S/N,6500,19.427305,-99.149533,ELECTRIC_BIKE,"19.427305,-99.149533",0901500010860
107,107 TOLSA-BALDERAS,107 - Tolsa-Balderas,S/N,6500,19.427329,-99.149971,BIKE,"19.427329,-99.149971",0901500010860
123,123 CLAUDIO BERNARD-DR. LAVISTA,123 - Claudio Bernard-Dr. Lavista,S/N,6500,19.424161,-99.153117,BIKE,"19.424161,-99.153117",0901500011534
124,124 CLAUDIO BERNARD-DR. LICEAGA,124 - Claudio Bernard-Dr. Liceaga,S/N,6500,19.422392,-99.150358,BIKE,"19.422392,-99.150358",0901500011534
112,112 AV. MORELOS-ABRAHAM GONZALEZ,112 - Av. Morelos-Abraham González,S/N,6500,19.432819,-99.151734,BIKE,"19.432819,-99.151734",0901500010856
119,119 TURÍN-ABRAHAM GONZÁLEZ,119 - Turín-Abraham González,S/N,,19.42679,-99.15554,BIKE,"19.42679,-99.15554",0901500010856
113,113 GENERAL PRIM-VERSALLES,113 - General Prim-Versalles,S/N,6500,19.430369,-99.154419,BIKE,"19.430369,-99.154419",0901500010856
114,114 LUCERNA-ABRAHAM GONZALEZ,114 - Lucerna-Abraham González,S/N,6500,19.428989,-99.153618,BIKE,"19.428989,-99.153618",0901500010856
122,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,122 - José María Vértiz-Av. Dr. Río de la Loza,S/N,6500,19.425502,-99.146337,BIKE,"19.425502,-99.146337",0901500010875
448,448 DR. ANDRADE - ARCOS DE BELÉN,DR. ANDRADE ARCOS DE BELÉN,S/N,,19.426611,-99.14447,"BIKE,TPV","19.426611,-99.14447",0901500010875
99,99 ERNESTO PUGIBET-LUIS MOYA,99 - Ernesto Pugibet-Luis Moya,S/N,,19.42995,-99.14591,BIKE,"19.42995,-99.14591",0901500010875
110,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,110 - Dr. Valenzuela-Dr. Río de la loza,S/N,,19.42513,-99.14339,BIKE,"19.42513,-99.14339",0901500010875
140,140 MÉRIDA-ZACATECAS,140 - Mérida-Zacatecas,S/N,,19.416605,-99.156853,BIKE,"19.416605,-99.156853",0901500011110
148,148 COAHUILA-AV.CUAUHTEMOC,148 - Coahuila-Av. Cuauhtémoc,S/N,,19.412829,-99.155116,BIKE,"19.412829,-99.155116",0901500011110
143,143 CÓRDOBA-SAN LUIS POTOSÍ,143 - Córdoba-San Luis Potosí,S/N,,19.414303,-99.157542,BIKE,"19.414303,-99.157542",0901500011110
138,138 GUANAJUATO-FRONTERA,138 - Guanajuato-Frontera,S/N,,19.417702,-99.155313,BIKE,"19.417702,-99.155313",0901500011110
149,149 MÉRIDA-ANTONIO ANZA,149 - Mérida-Antonio Anza,S/N,,19.41199,-99.155699,BIKE,"19.41199,-99.155699",0901500011110
144,144 FRONTERA-SAN LUIS POTOSÍ,144 - Frontera-San Luis Potosí,S/N,,19.415192,-99.154837,BIKE,"19.415192,-99.154837",0901500011110
139,E139 TONALÁ-GUANJUATO,139 - Tonalá-Guanajuato,S/N,,19.416128,-99.162097,ELECTRIC_BIKE,"19.416128,-99.162097",0901500011106
141,141 ZACATECAS-LUIS CABRERA,141 - Zacatecas-Luis Cabrera,S/N,,19.415905,-99.15954,"BIKE,TPV","19.415905,-99.15954",0901500011106
460,460 JUAN VÁZQUEZ DE MELLA-HOMERO,460 JUAN VÁZQUEZ DE MELLA-HOMERO,S/R,,19.437014,-99.207932,BIKE,"19.437014,-99.207932",0901600010622
240,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA,204- Ejercito Nacional-F.C. de Cuernavaca,S/N,,19.43855,-99.2063,"BIKE,TPV","19.43855,-99.2063",0901600010622
241,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA,241 - Ejercito Nacional-Juan Vazquez de la Mella,S/N,,19.43862,-99.20758,ELECTRIC_BIKE,"19.43862,-99.20758",0901600010622
200,200 EMERSON-AV. EJERCITO NACIONAL,200 - Emerson-Av. Ejército Nacional,S/N,11510,19.437596,-99.188785,BIKE,"19.437596,-99.188785",0901600010660
201,201 LOPE DE VEGA-EJERCITO NACIONAL,201 - Lope de Vega-Ejército Nacional,S/N,11510,19.437431,-99.187215,BIKE,"19.437431,-99.187215",0901600010660
208,208 HESIODO-LAMARTINE,208 - Hesiodo-Lamartine,S/N,11510,19.434182,-99.189835,BIKE,"19.434182,-99.189835",0901600010660
253,253 DANTE-TOLSTOI,253 - Dante-Tolstoi,S/N,11510,19.425835,-99.177924,"BIKE,TPV","19.425835,-99.177924",090160001068A
207,207 TASSO-HOMERO,207 - Tasso-Homero,S/N,11510,19.434861,-99.183322,BIKE,"19.434861,-99.183322",090160001068A
239,239 RINCON DEL BOSQUE-RUBEN DARÍO,239 - Rincon del Bosque-Ruben Dario,S/N,11510,19.430153,-99.181355,BIKE,"19.430153,-99.181355",090160001068A
250,250 DARWIN-MARIANO ESCOBEDO,250 - Darwin-Mariano Escobedo,S/N,11510,19.429057,-99.17966,"BIKE,TPV","19.429057,-99.17966",090160001068A
247,E247 HERSCHEL-ROUSSEAU,247 - Herschel-Rousseau,S/N,11510,19.432276,-99.18064,ELECTRIC_BIKE,"19.432276,-99.18064",090160001068A
226,226 WALLON-PRESIDENTE MASARYK,226 - Wallon-Presidente Masaryk,S/N,11511,19.431033,-99.18222,BIKE,"19.431033,-99.18222",090160001068A
217,217 EULER-AV. HORACIO,217 - Euler-Horacio,S/N,11510,19.432888,-99.183605,"BIKE,TPV","19.432888,-99.183605",090160001068A
467,E467  LAGO MAYOR-LAGO ALBERTO,467  LAGO MAYOR-LAGO ALBERTO,S/N,,19.440399,-99.186784,ELECTRIC_BIKE,"19.440399,-99.186784",0901600010478
476,476 LAGO COMO-LAGUNA DE MAYRÁN,476 LAGO COMO-LAGUNA DE MAYRÁN,S/N,,19.442127,-99.184433,"BIKE,TPV","19.442127,-99.184433",0901600010478
245,245 LAGO ONEGA-AV. EJERCITO NACIONAL,245 - Lago Onega-Av. Ejército Nacional,S/N,11510,19.43819,-99.19048,BIKE,"19.43819,-99.19048",0901600010571
196,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,196 - Lago Tanganica- Av. Ejército Nacional,S/N,11510,19.438349,-99.192904,BIKE,"19.438349,-99.192904",0901600010571
244,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA,244 - Miguel de Cervantes Saavedra-Lago Victoria,S/N,11510,19.440885,-99.193315,BIKE,"19.440885,-99.193315",0901600010571
473,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,S/N,,19.438143,-99.17519,"BIKE,TPV","19.438143,-99.17519",0901600010590
202,202 CALDERON DE LA BARCA-AV. HOMERO,202 - Calderón de la Barca-Av. Homero,S/N,11510,19.43617,-99.198943,BIKE,"19.43617,-99.198943",0901600010641
215,215 EDGAR ALAN POE-HORACIO,215 - Edgar Alan Poe-Horacio,S/N,11510,19.43384,-99.19968,BIKE,"19.43384,-99.19968",0901600010641
199,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,199 - Anatole France-Av. Ejército Nacional,S/N,11510,19.437934,-99.197241,BIKE,"19.437934,-99.197241",0901600010641
249,249 SHAKESPEARE-DARWIN,249 - Shakespeare-Darwin,S/N,11510,19.429877,-99.177569,BIKE,"19.429877,-99.177569",0901600010694
246,246 LEIBNITZ-THIERS,246 - Leibnitz-Thiers,S/N,11510,19.434147,-99.179835,BIKE,"19.434147,-99.179835",0901600010694
248,248 SHAKESPEARE-LAFAYETTE,248 - Shakespeare-Lafayette,S/N,11510,19.43175,-99.177399,BIKE,"19.43175,-99.177399",0901600010694
466,466  LAGO ONEGA-LAGO LADOGA,466  LAGO ONEGA-LAGO LADOGA,S/N,,19.44269,-99.19083,BIKE,"19.44269,-99.19083",0901600010463
219,219 ESOPO-FC DE CUERNAVACA,219 - Esopo-FC de Cuernavaca,S/N,11510,19.433542,-99.207808,BIKE,"19.433542,-99.207808",0901600010637
198,198 SÓCRATES-EJERCITO NACIONAL,198 - Sócrates-Ejercito Nacional,S/N,,19.438168,-99.203888,"BIKE,TPV","19.438168,-99.203888",0901600010637
213,213 SOLÓN-CICERÓN,213 - Solón-Cicerón,S/N,11510,19.43432,-99.20632,BIKE,"19.43432,-99.20632",0901600010637
220,220 PLINIO-PRESIDENTE MASARYK,220 - Plino-Presidente Masaryk,S/N,11510,19.432655,-99.205727,BIKE,"19.432655,-99.205727",0901600010637
206,206 MOLIERE-HOMERO,206 - Moliere-Homero,S/N,,19.435798,-99.201419,"BIKE,TPV","19.435798,-99.201419",0901600010637
209,209 SOLON-HORACIO,209 - Solón-Horacio,S/N,11510,19.435478,-99.206359,BIKE,"19.435478,-99.206359",0901600010637
214,214 PLATÓN-HORACIO,214 - Platón-Horacio,S/N,,19.434353,-99.20322,BIKE,"19.434353,-99.20322",0901600010637
