CVE_AGEB,text
562," JOSE CLEMENTE OROZCO-CORREGGIO, HOLBEIN-PAULO UCELLO"
571," LAGO ONEGA-AV. EJERCITO NACIONAL, LAGO TANGANICA-AV. EJERCITO NACIONAL, MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA"
577," PORFIRIO DÍAZ-AV. INSURGENTES, PORFIRIO DÍAZ-CINCINATTI, INDIANA-AVENIDA SAN ANTONIO, BOSTON-AV. INSURGENTES, CAROLINA-HOLBEIN, PENNSYLVANIA-MAXIMINO AVILA CAMACHO, AUGUSTO RODIN-ALBERTO BALDERAS, PORFIRIO DÍAZ-AUGUSTO RODÍN, BOSTON -AUGUSTO RODÍN"
581," CALIFORNIA-SACRAMENTO, MIRAFLORES-PATRICIO SANZ, PORFIRIO DÍAZ-CAPULÍN"
590, BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS
603," LAGO XOCHIMILCO-AV. EJÉRCITO NACIONAL, BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS,E469 BAHÍA DE LA CONCEPCIÓN-BAHÍA DE TODOS LOS SAN, BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA,E472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS"
609," MATIAS ROMERO -AMORES, PILARES-GABRIEL MANCERA, MATIAS ROMERO -ADOLFO PRIETO"
613," NICOLAS SAN JUAN-MATIAS ROMERO, MATIAS ROMERO -PESTALLOZZI, HERIBERTO FRÍAS-MIGUEL LAURENT, PITÁGORAS-PILARES,E360 HERIBERTO FRÍAS-MATIAS ROMERO"
622," EJERCITO NACIONAL-F.C. DE CUERNAVACA, JUAN VÁZQUEZ DE MELLA-HOMERO,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA"
628, ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR
637," PLINIO-PRESIDENTE MASARYK, ESOPO-FC DE CUERNAVACA, CAMPOS ELÍSEOS-PERIFÉRICO, SOLÓN-CICERÓN, MOLIERE-HOMERO, SOLON-HORACIO, SÓCRATES-EJERCITO NACIONAL, PLATÓN-HORACIO"
641," ANATOLE FRANCE-AV. EJERCITO NACIONAL, EDGAR ALAN POE-HORACIO, CALDERON DE LA BARCA-AV. HOMERO"
644," REPUBLICA DE CUBA-REPUBLICA DE BRASIL, REPUBLICA DE CUBA-ALLENDE"
656," EUGENIO SUE-HORACIO, ALEJANDRO DUMAS-HORACIO, TEMISTOCLES-HOMERO, TENNYSON-AV. HOMERO"
660," HESIODO-LAMARTINE, EMERSON-AV. EJERCITO NACIONAL, LOPE DE VEGA-EJERCITO NACIONAL"
675," HEGEL-IBARBOUROU, TAINE-HOMERO, HEGEL-HORACIO, NEWTON-HORACIO"
678," GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN, GABINO BARRERA-GUILLERMO PRIETO, JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA,E160 ALFONSO HERRERA-GABINO BARRERA"
682," ROSAS MORENO-SULLIVAN, JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO, JOSE ROSAS MORENO-GUILLERMO PRIETO"
694," SHAKESPEARE-LAFAYETTE, LEIBNITZ-THIERS,E247 HERSCHEL-ROUSSEAU"
697," GÓMEZ FARÍAS-SADI CARNOT, ALFONSO HERRERA-MIGUEL SHULTZ, SADI CARNOT-GÓMEZ FARIAS, SULLIVAN-INSURGENTES"
702," POUSSIN-EMPRESA, EMPRESA-POUSSIN, CADIZ-EMPRESA, LUIS CARACCI-2DA. LUIS CARACCI"
707, LEIBNITZ-AV. EJERCITO NACIONAL
711," VICTOR HUGO-SHAKESPEARE, SHAKESPEARE-DARWIN, GOETHE-DARWIN"
714," REFORMA-AV. DE LA REPUBLICA, DE LA REPUBLICA-PONCIANO ARRIAGA, RAMOS ARIZPE-PUENTE DE ALVARADO"
717," TLACOQUEMECATL-AV. INSURGENTES, MARÍA LUZ BRINGAS-OSO, SAN LORENZO-AV. INSURGENTES, OSO-FELIX CUEVAS, SAN LORENZO-MANZANAS,E391 OSO-FELIX CUEVAS"
721," TLACOQUEMECATL-CAPULIN, MORAS-SAN LORENZO"
729," REFORMA-RAMIREZ, REFORMA-INSURGENTES"
733," JUAREZ-REVILLAGIGEDO, REFORMA-BUCARELI, HIDALGO-TRUJANO,E260 AV JUAREZ-BALDERAS"
736," SAN LORENZO-CALLEJÓN MARTÍN MENLALDE, ADOLFO PRIETO-FELIX CUEVAS, DR. ROBERTO GAYOL-FELIX CUEVAS, PARROQUIA-AVENIDA COYOACÁN, PATRICIO SANZ-FELIX CUEVAS"
740," MIGUEL LAURENT-AMORES, DR. ROBERTO GAYOL-MIGUEL LAURENT, DR. ROBERTO GAYOL-TLACOQUEMECATL"
745," CAMPOS ELISEOS-MOLIERE, CAMPOS ELÍSEOS-GOLDSMITH, DICKENS-SENECA"
748," INDEPENDENCIA-MARROQUI, INDEPENDENCIA-AZUETA, LOPEZ-AYUNTAMIENTO"
752," MARCONI-TACUBA, PALMA NORTE-REPUBLICA DE CUBA, SAN ILDEFONSO-REPUBLICA DE ARGENTINA"
755," SAN LORENZO-GABRIEL MANCERA, SANCHEZ AZCONA-FELIX CUEVAS, HERIBERTO FRÍAS-SAN LORENZO, SAN LORENZO-HERIBERTO FRIAS"
767, 5 DE MAYO-BOLIVAR
771," REPUBLICA DE GUATEMALA-MONTE DE PIEDAD, LIC. VERDAD-MONEDA, 2A CDA 5 DE MAYO-PALMA"
774," MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE, DIVISIÓN DEL NORTE-MUNICIPIO LIBRE"
779," NEWTON-ARISTOTELES, ANDRÉS BELLO-ELLIOT, NEWTON-PRESIDENTE MASARYK,E222 ALEJANDRO DUMAS-PRESIDENTE MASARYK"
783," HEGEL-PRESIDENTE MASARYK, PETRARCA-PRESIDENTE MASARYK, TRES PICOS-ARQUÍMIDES, TAINE-RUBEN DARÍO"
790,"E257 MANUEL MARIA CONTRERAS-VILLALONGIN, RIO SENA-RIO BALSAS, RIO AMAZONAS-RIO LERMA, RIO LERMA-VILLALONGIN"
793," SANTANDER-FELIX CUEVAS, POUSSIN-DONATELLO, VALENCIA-MALAGA, ACTIPAN-CADIZ, GOYA-AUGUSTO RODÍN, GALICIA-ACTIPAN"
