CVE_AGEB,text
533, PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES
552, MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT
558, BOTICHELLI-CDA. DE GIORGONE
558, HOLBEIN-AVENIDA REVOLUCIÓN
558, TINTORETO-GIORGINE
562, JOSE CLEMENTE OROZCO-CORREGGIO
562, HOLBEIN-PAULO UCELLO
571, LAGO ONEGA-AV. EJERCITO NACIONAL
571, LAGO TANGANICA-AV. EJERCITO NACIONAL
571, MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA
577, PORFIRIO DÍAZ-AV. INSURGENTES
577, PORFIRIO DÍAZ-CINCINATTI
577, INDIANA-AVENIDA SAN ANTONIO
577, BOSTON-AV. INSURGENTES
577, CAROLINA-HOLBEIN
577, PENNSYLVANIA-MAXIMINO AVILA CAMACHO
577, AUGUSTO RODIN-ALBERTO BALDERAS
577, PORFIRIO DÍAZ-AUGUSTO RODÍN
577, BOSTON -AUGUSTO RODÍN
581, CALIFORNIA-SACRAMENTO
581, MIRAFLORES-PATRICIO SANZ
581, PORFIRIO DÍAZ-CAPULÍN
590, BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS
603, LAGO XOCHIMILCO-AV. EJÉRCITO NACIONAL
603, BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS
603,E469 BAHÍA DE LA CONCEPCIÓN-BAHÍA DE TODOS LOS SAN
603, BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA
603,E472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS
609, MATIAS ROMERO -AMORES
609, PILARES-GABRIEL MANCERA
609, MATIAS ROMERO -ADOLFO PRIETO
613, NICOLAS SAN JUAN-MATIAS ROMERO
613, MATIAS ROMERO -PESTALLOZZI
613, HERIBERTO FRÍAS-MIGUEL LAURENT
613, PITÁGORAS-PILARES
613,E360 HERIBERTO FRÍAS-MATIAS ROMERO
622, EJERCITO NACIONAL-F.C. DE CUERNAVACA
622, JUAN VÁZQUEZ DE MELLA-HOMERO
622,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA
628, ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR
637, PLINIO-PRESIDENTE MASARYK
637, ESOPO-FC DE CUERNAVACA
637, CAMPOS ELÍSEOS-PERIFÉRICO
637, SOLÓN-CICERÓN
637, MOLIERE-HOMERO
637, SOLON-HORACIO
637, SÓCRATES-EJERCITO NACIONAL
637, PLATÓN-HORACIO
641, ANATOLE FRANCE-AV. EJERCITO NACIONAL
641, EDGAR ALAN POE-HORACIO
641, CALDERON DE LA BARCA-AV. HOMERO
644, REPUBLICA DE CUBA-REPUBLICA DE BRASIL
644, REPUBLICA DE CUBA-ALLENDE
656, EUGENIO SUE-HORACIO
656, ALEJANDRO DUMAS-HORACIO
656, TEMISTOCLES-HOMERO
656, TENNYSON-AV. HOMERO
660, HESIODO-LAMARTINE
660, EMERSON-AV. EJERCITO NACIONAL
660, LOPE DE VEGA-EJERCITO NACIONAL
675, HEGEL-IBARBOUROU
675, TAINE-HOMERO
675, HEGEL-HORACIO
675, NEWTON-HORACIO
678, GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN
678, GABINO BARRERA-GUILLERMO PRIETO
678, JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA
678,E160 ALFONSO HERRERA-GABINO BARRERA
682, ROSAS MORENO-SULLIVAN
682, JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO
682, JOSE ROSAS MORENO-GUILLERMO PRIETO
694, SHAKESPEARE-LAFAYETTE
694, LEIBNITZ-THIERS
694,E247 HERSCHEL-ROUSSEAU
697, GÓMEZ FARÍAS-SADI CARNOT
697, ALFONSO HERRERA-MIGUEL SHULTZ
697, SADI CARNOT-GÓMEZ FARIAS
697, SULLIVAN-INSURGENTES
702, POUSSIN-EMPRESA
702, EMPRESA-POUSSIN
702, CADIZ-EMPRESA
702, LUIS CARACCI-2DA. LUIS CARACCI
707, LEIBNITZ-AV. EJERCITO NACIONAL
711, VICTOR HUGO-SHAKESPEARE
711, SHAKESPEARE-DARWIN
711, GOETHE-DARWIN
714, REFORMA-AV. DE LA REPUBLICA
714, DE LA REPUBLICA-PONCIANO ARRIAGA
714, RAMOS ARIZPE-PUENTE DE ALVARADO
717, TLACOQUEMECATL-AV. INSURGENTES
717, MARÍA LUZ BRINGAS-OSO
717, SAN LORENZO-AV. INSURGENTES
717, OSO-FELIX CUEVAS
717, SAN LORENZO-MANZANAS
717,E391 OSO-FELIX CUEVAS
721, TLACOQUEMECATL-CAPULIN
721, MORAS-SAN LORENZO
729, REFORMA-RAMIREZ
729, REFORMA-INSURGENTES
733, JUAREZ-REVILLAGIGEDO
733, REFORMA-BUCARELI
733, HIDALGO-TRUJANO
733,E260 AV JUAREZ-BALDERAS
736, SAN LORENZO-CALLEJÓN MARTÍN MENLALDE
736, ADOLFO PRIETO-FELIX CUEVAS
736, DR. ROBERTO GAYOL-FELIX CUEVAS
736, PARROQUIA-AVENIDA COYOACÁN
736, PATRICIO SANZ-FELIX CUEVAS
740, MIGUEL LAURENT-AMORES
740, DR. ROBERTO GAYOL-MIGUEL LAURENT
740, DR. ROBERTO GAYOL-TLACOQUEMECATL
745, CAMPOS ELISEOS-MOLIERE
745, CAMPOS ELÍSEOS-GOLDSMITH
745, DICKENS-SENECA
748, INDEPENDENCIA-MARROQUI
748, INDEPENDENCIA-AZUETA
748, LOPEZ-AYUNTAMIENTO
752, MARCONI-TACUBA
752, PALMA NORTE-REPUBLICA DE CUBA
752, SAN ILDEFONSO-REPUBLICA DE ARGENTINA
755, SAN LORENZO-GABRIEL MANCERA
755, SANCHEZ AZCONA-FELIX CUEVAS
755, HERIBERTO FRÍAS-SAN LORENZO
755, SAN LORENZO-HERIBERTO FRIAS
767, 5 DE MAYO-BOLIVAR
771, REPUBLICA DE GUATEMALA-MONTE DE PIEDAD
771, LIC. VERDAD-MONEDA
771, 2A CDA 5 DE MAYO-PALMA
774, MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE
774, DIVISIÓN DEL NORTE-MUNICIPIO LIBRE
779, NEWTON-ARISTOTELES
779, ANDRÉS BELLO-ELLIOT
779, NEWTON-PRESIDENTE MASARYK
779,E222 ALEJANDRO DUMAS-PRESIDENTE MASARYK
783, HEGEL-PRESIDENTE MASARYK
783, PETRARCA-PRESIDENTE MASARYK
783, TRES PICOS-ARQUÍMIDES
783, TAINE-RUBEN DARÍO
790,E257 MANUEL MARIA CONTRERAS-VILLALONGIN
790, RIO SENA-RIO BALSAS
790, RIO AMAZONAS-RIO LERMA
790, RIO LERMA-VILLALONGIN
793, SANTANDER-FELIX CUEVAS
793, POUSSIN-DONATELLO
793, VALENCIA-MALAGA
793, ACTIPAN-CADIZ
793, GOYA-AUGUSTO RODÍN
793, GALICIA-ACTIPAN
798, CAMPOS ELÍSEOS-JEAN DE LA FONTAINE
798, AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI
798, CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA
798, RUBEN DARIO-REFORMA
803, REFORMA-HAVRE
803, REFORMA-VERSALLES
803, ROMA-DINAMARCA
803, REFORMA-GENERAL PRIM
806, PARROQUIA-JOSÉ IGNACIO BARTOLACHE
806, RECREO-PARROQUÍA
806, SAN FRANCISCO-PARROQUÍA
810, RODRIGUEZ SARO-AVENIDA COYOACÁN
810, AMORES-JOSÉ MARÍA RICO (EJE 8)
810, NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD
810, MARTÍN MENLALDE-FELIX CUEVAS
818, 20 DE NOVIEMBRE-VENUSTIANO CARRANZA
818, JOSE MARIA PINO SUAREZ-CORREGIDORA
818, REPUBLICA DE SALVADOR-PINO SUAREZ
818, GANTE-VENUSTIANO CARRANZA
822, RIO PANUCO-RIO SENA
822, RIO PANUCO-RIO TIBER
825, PARROQUIA-AVENIDA MÉXICO-COYOACAN
825, PARROQUIA-AVENIDA UNIVERSIDAD
837, REFORMA-RIO TAMESIS
837, REFORMA-RIO RHIN
841, MARSELLA-NAPOLES
841, HAMBURGO-INSURGENTES
841, LIVERPOOL-DINAMARCA
841, LONDRES-ROMA
841, LONDRES-NAPOLES
844, AZORES-DIVISIÓN DEL NORTE
844, PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA
844, PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA
844, PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS
844, PIRINEOS-AV. POPOCATEPETL (EJE 8)
849, MONTES URALES-VOLCÁN
849, ALPES-MONTES ESCANDINAVOS
849,E459 VOLCÁN-MONTES URALES
856, TURÍN-ABRAHAM GONZÁLEZ
856, GENERAL PRIM-VERSALLES
856, AV. MORELOS-ABRAHAM GONZALEZ
856, LUCERNA-ABRAHAM GONZALEZ
860, EMILIO DONDE-AV. BALDERAS
860, TOLSA-BALDERAS
860,E108 TOLSA-BALDERAS
872,E457 AV. PRADO NORTE-EXPLANADA
875, DR. VALENZUELA-DR. RÍO DE LA LOZA
875, ERNESTO PUGIBET-LUIS MOYA
875, DR. ANDRADE - ARCOS DE BELÉN
875, JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA
887, ALPES-MONTES ESCANDINAVOS
891, GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S.
891, GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M
894, SAN JERONIMO-JOSE MARIA PINO SUAREZ
894, 20 DE NOVIEMBRE-MESONES
894, SAN JERONIMO-5 DE FEBRERO
894, SAN JERONIMO-ISABEL LA CATOLICA
894, 1ER. CALLEJÓN DE MESONES-MESONES
926, RIO GUADALQUIVIR-RIO LERMA
926, RIO GUADALQUIVIR-RIO BALSAS
926, RIO NILO-RIO PANUCO
929, RODRIGUEZ SARO-BUFALLO
929, MARÍA LUZ BRINGAS-OSO
929, MORAS-JOSÉ MARÍA RICO (EJE 8)
929, BUFALO-JOSÉ MARÍA RICO (EJE 8)
930, REFORMA-RIO DE PLATA
930, REFORMA-RÍO TIBER
930, REFORMA-RIO TIBER
930, REFORMA-RIO MISSISSIPPI
930, PASEO DE LA REFORMA - RÍO DE LA PLATA
930, RIO ELBA-RIO LERMA
933, ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI
933, MORAS-COMUNAL
945, REFORMA-ESTOCOLMO
945, TOLEDO-TOKIO
945, REFORMA-DUBLIN
945, REFORMA-VARSOVIA
945, REFORMA-PRAGA
945, REFORMA-MANCHESTER
945, HAMBURGO-GENOVA
948, JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA
948, AMORES-AVENIDA COYOACÁN
948,E434 JOSE MARÍA OLLOQUI-AMORES
952, CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE
952, REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN
952, PUENTE XOCO-REAL DE MAYORAZGO
964, NEZAHUALCOYOTL-ISABEL LA CATOLICA
967, REAL DE MAYORAZGO-PUENTE XOCO
971, PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8)
971, CARRILLO PUERTO-AV. MÉXICO-COYOACÁN
971, BRUNO TRAVEN-GOLONDRINAS
983, LONDRES-SEVILLA
986, BRUNO TRAVEN-PAZ MONTES DE OCA
986, RIFF-AVENIDA RIO CHURUBUSCO
986, TRIPOLI-AV. POPOCATEPETL (EJE 8)
986, GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ
986,E445 RIFF-AVENIDA RIO CHURUBUSCO
995, PEDREGAL-TEAPA
995, PEDREGAL-FERROCARRIL DE CUERNAVACA
995,E454 MONTES URALES-MONTE PELVOUX
998, OAXACA-PUEBLA
998, SINALOA-VALLADOLID
998, PUEBLA-MEDELLÍN
998, DURANGO-SALAMANCA
1002, TONALÁ-DURANGO
1002, ÁLVARO OBREGÓN-ORIZABA
1002, ÁLVARO OBREGÓN-TONALÁ
1002, ORIZABA-RIO DE JANEIRO
1002, COLIMA-JALAPA
1002, NIZA-CHAPULTEPEC
1002, JALAPA-PUEBLA
1017, COLIMA-FRONTERA
1017, PUEBLA-MERIDA
1017, COLIMA-MORELIA
1017, MÉRIDA-DURANGO
1017, MORELIA-CIRCULAR DE MORELIA
1017, ÁLVARO OBREGÓN-MORELIA
1029, GREGORIO V GELATI-FRANCISCO MOLINOS DEL C
1029, GENERAL CANO-GOBERNADOR GREGORIO V GELATI
1029,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS
1089, PUEBLA-VERACRUZ
1089, GUADALAJARA-PUEBLA
1089,E449 ACAPULCO-PUEBLA
1089, DURANGO-SONORA
1089, DURANGO-VERACRUZ
1089, COZUMEL-PUEBLA
1093, COLIMA-OAXACA
1093, GLORIETA CIBELES-OAXACA
1106, ZACATECAS-LUIS CABRERA
1106,E139 TONALÁ-GUANJUATO
1110, GUANAJUATO-FRONTERA
1110, ÁLVARO OBREGÓN-MÉRIDA
1110, CÓRDOBA-SAN LUIS POTOSÍ
1110, MÉRIDA-ZACATECAS
1110, MÉRIDA-ANTONIO ANZA
1110, COAHUILA-AV.CUAUHTEMOC
1110, FRONTERA-SAN LUIS POTOSÍ
1160, GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA
1160, GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS
1160, GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA
1175, OBSERVATORIO ORIENTE-REVOLUCIÓN
1178, MAZATLAN-FERNANDO MONTES DE OCA
1178, AGUSTÍN MELGAR-ZAMORA
1178, CIRCUITO INTERIOR-JUAN ESCUTIA
1182, PARQUE ESPAÑA-JUAN DE LA BARRERA
1182, CUERNAVACA-JUAN ESCUTIA
1182, MAZATLAN-JUAN DE LA BARRERA
1182, PARQUE ESPAÑA-SONORA
1182, CUERNAVACA-VERACRUZ
1197, AMSTERDAM-MICHOACAN
1197, PARQUE MEXICO-MICHOACAN
1197, NUEVO LEON-OZULAMA
1197, NUEVO LEON- LAREDO
1197, AVENIDA MEXICO-SONORA
1207, 12 DE OCTUBRE-MINERIA
1207, MINERÍA-JOSÉ MARTÍ
1211, 13 DE SEPTIEMBRE-PUENTE DE LA MORENA
1211, 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO
1214, SAN LUIS POTOSI-EJE 2 PTE. MONTERREY
1214, COAHUILA-ORIZABA
1214, EJE 2 SUR YUCATÁN-CHIAPAS
1226, PROGRESO-ASTRONOMOS
1226,E175 MUTUALISMO-JOSÉ MARTí
1303, FERNANDO MONTES DE OCA-TULA
1303, MAZATLAN-FRANCISCO MARQUEZ
1318, ALFONSO REYES-ATLIXCO
1318, TAMAULIPAS-MICHOACAN
1318, VICENTE SUAREZ-MICHOACAN
1318, CAMPECHE-TAMAULIPAS
1322, FERNANDO MONTES DE OCA-AMATLAN
1337, SALTILLO-ALFONSO REYES
1341, CHILPANCINGO-TLAXCALA
1341, NUEVO LEON-AGUASCALIENTES
1341, AGUASCALIENTES-INSURGENTES
1341, MICHOACAN-AMSTERDAM
1341, CHILPANCINGO-CAMPECHE
1356, COAHUILA-MANZANILLO
1356, TEPIC-TLACOTALPAN
1356, TLACOTALPAN-CAMPECHE
1356, CAMPECHE-MEDELLÍN
1356, TUXPAN-TLAXCALA
