,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
528230,1479,1375,17,1208.89,682.35,1048.09,1.69
568727,1426,1534,18,32.0,99.47,11.67,2.71
602075,1426,1479,21,781.76,360.41,752.04,1.26
605607,1002,1106,11,1431.73,283.13,1410.23,1.18
660919,1197,1322,5,786.08,387.45,691.57,1.67
732942,1106,1110,9,1020.33,192.19,1001.83,1.21
16519,1479,1375,0,645.06,252.84,607.92,1.39
27500,1175,1160,11,1421.5,176.24,1410.79,1.13
33826,1175,1479,8,1060.87,868.41,944.6,1.51
40749,1303,1318,22,1358.47,274.64,1335.23,1.2
57086,1375,1160,19,2054.33,654.32,1952.32,1.38
57859,1207,1197,6,135.31,257.39,48.36,3.86
57906,1375,1479,16,733.86,404.31,667.78,1.48
62684,1375,1534,13,291.47,214.08,255.23,1.61
67426,1411,1426,15,1287.56,544.42,1195.94,1.45
120214,1534,1411,6,950.01,443.12,871.77,1.48
132241,1175,1534,5,1576.89,552.5,1470.99,1.54
172471,1426,1464,22,1261.75,337.15,1227.09,1.25
190125,1175,1375,2,1396.64,454.14,1346.46,1.29
237602,1375,1430,7,349.42,345.82,254.57,2.15
239583,1375,1002,17,3553.18,951.83,3443.91,1.28
324644,1534,1175,7,1767.51,709.39,1652.29,1.42
328143,1479,1178,7,687.14,361.71,616.12,1.57
390343,1197,1322,21,704.53,326.51,646.47,1.49
476014,1093,1029,16,688.45,572.57,617.52,1.47
478627,1479,1411,17,104.98,168.59,47.06,3.95
481990,1464,1534,19,1370.81,280.05,1345.78,1.21
569381,1029,1002,8,1611.78,443.77,1555.3,1.3
586657,1175,1479,15,996.09,611.89,904.26,1.55
592695,1175,1160,18,1644.38,378.9,1609.48,1.22
594769,1411,1426,22,847.42,338.98,804.03,1.36
609910,1534,1411,13,900.06,377.75,856.3,1.34
620591,1318,1303,5,1128.5,235.73,1108.02,1.2
633192,1411,1534,0,676.4,168.16,661.93,1.21
639828,1411,1479,3,78.37,180.25,28.91,4.2
647423,1197,1207,3,41.67,60.02,25.83,2.35
648766,1175,1534,12,1794.32,498.43,1726.53,1.33
664023,1375,1479,23,589.39,287.44,548.62,1.41
670460,1207,1197,13,130.81,310.86,47.25,3.8
680551,1375,1534,20,333.83,187.51,296.65,1.61
724921,1178,1534,12,2240.33,676.92,2158.93,1.29
771849,1375,1029,21,3228.86,696.52,3161.96,1.22
773407,1430,1534,22,191.78,240.91,124.87,2.35
776186,1534,1093,2,2339.5,444.53,2298.56,1.21
799535,1178,1479,15,863.48,286.07,824.47,1.34
805629,1178,1534,17,2131.13,756.0,2003.22,1.42
828021,1178,1479,20,885.4,281.51,848.76,1.33
66492,1197,1318,1,617.39,219.27,588.99,1.33
110413,1110,1093,3,562.86,244.86,525.51,1.41
154418,1534,1093,20,2646.92,761.64,2559.77,1.28
159886,1318,1226,14,881.5,187.82,860.42,1.25
177772,1029,1017,22,1418.5,275.33,1390.99,1.22
180544,1322,1303,22,1288.17,350.81,1246.67,1.28
194857,1479,1534,9,1263.24,449.77,1185.27,1.43
197177,1207,1318,10,827.75,236.98,801.77,1.27
210671,1430,1411,15,814.4,353.17,768.72,1.36
247623,1178,1411,5,994.79,455.06,898.54,1.57
250429,1303,1197,23,969.95,559.99,858.35,1.58
301029,1322,1197,8,759.42,385.55,698.42,1.48
307279,1197,1303,12,860.43,320.72,816.53,1.36
340003,1479,1375,14,1107.29,605.39,1003.74,1.51
340188,1479,1430,11,1223.44,465.23,1147.14,1.42
367410,1375,1175,9,1623.72,580.6,1553.82,1.32
516007,1534,1430,23,110.63,205.88,77.72,1.93
516754,1226,1322,22,617.05,255.3,501.3,2.52
529008,1197,1226,13,830.2,161.39,815.85,1.2
530821,1426,1430,8,343.13,347.35,230.32,2.46
541423,1017,1089,17,715.71,156.4,701.84,1.21
545543,1375,1178,21,1432.31,367.72,1392.82,1.26
574215,1178,1175,11,972.6,396.93,885.28,1.59
578559,1093,1534,9,2318.41,471.1,2275.77,1.21
592516,1411,1178,1,701.1,216.1,680.04,1.25
596837,1175,1178,13,863.9,252.11,818.27,1.43
604660,1093,1106,19,410.59,132.91,399.78,1.24
605291,1430,1175,21,1393.34,280.11,1371.77,1.18
607202,1318,1322,15,300.66,159.29,263.16,1.68
608336,1426,1002,18,3307.61,419.32,3282.67,1.13
609756,1110,1002,16,1244.1,189.32,1230.11,1.16
611056,1426,1375,11,320.26,244.61,271.97,1.73
622621,1426,1375,22,205.98,147.31,190.26,1.39
649283,1426,1430,19,127.8,196.11,91.19,1.95
679159,1411,1178,12,742.8,274.89,714.17,1.28
720315,1178,1175,22,717.31,279.43,672.15,1.43
758764,1207,1303,13,924.63,407.95,865.84,1.4
844979,1479,1175,12,838.67,344.17,793.53,1.36
845113,1411,1430,7,979.45,487.83,888.07,1.52
10734,1226,1197,3,987.78,249.0,963.36,1.23
59886,1322,1318,19,315.01,149.96,283.83,1.58
74105,1375,1110,15,3024.29,616.3,2963.98,1.22
74182,1175,1430,19,1970.16,714.27,1862.55,1.39
92419,1175,1375,22,1503.54,431.58,1454.28,1.28
98001,1430,1426,12,289.31,615.48,154.84,2.58
98257,1411,1375,10,924.94,391.26,857.26,1.47
106419,1430,1479,11,758.89,210.22,735.92,1.27
142188,1318,1197,14,842.85,262.45,807.05,1.34
149467,1226,1197,21,1122.61,549.41,1051.38,1.38
188485,1430,1534,8,214.65,329.24,126.7,2.61
208488,1178,1479,1,763.95,303.19,721.49,1.37
217516,1479,1411,5,207.53,317.92,82.81,4.57
226393,1430,1178,17,1681.5,429.88,1636.11,1.25
237666,1093,1029,4,674.68,361.01,603.9,1.56
299568,1464,1534,7,1478.69,497.15,1397.99,1.4
330268,1175,1534,7,2003.9,888.25,1874.34,1.41
332961,1411,1426,17,1460.4,726.94,1296.3,1.63
336115,1375,1160,21,1553.4,348.02,1522.66,1.21
354502,1175,1160,13,1380.71,341.24,1346.32,1.24
360590,1534,1411,8,1287.81,744.74,1100.73,1.74
381995,1207,1197,8,149.98,296.42,50.37,4.16
387366,1175,1479,10,1046.93,680.17,943.36,1.5
389649,1375,1534,15,320.5,225.48,275.0,1.7
390430,1318,1303,0,1416.07,236.03,1397.29,1.18
429163,1375,1479,18,860.53,458.97,773.87,1.55
474586,1375,1029,19,3514.27,832.58,3426.49,1.25
487416,1178,1534,10,1676.75,331.91,1643.09,1.23
492091,1430,1534,20,180.09,219.32,121.59,2.23
495643,1534,1093,0,2477.45,523.17,2428.2,1.22
543312,1430,1479,23,632.89,199.94,614.27,1.25
544550,1178,1479,13,981.56,524.27,886.53,1.53
554519,1426,1175,17,1894.3,944.71,1771.09,1.38
590443,1106,1002,12,1400.02,351.58,1367.38,1.24
667840,1106,1029,19,1013.4,214.89,996.65,1.19
676922,1110,1017,18,445.29,148.25,422.42,1.38
737130,1029,1093,12,808.47,428.68,740.82,1.46
782923,1430,1464,17,1187.96,376.96,1140.83,1.31
810200,1375,1093,23,3102.56,729.55,3016.86,1.27
82107,1226,1207,19,985.61,197.69,966.08,1.22
138184,1318,1207,12,861.33,220.37,834.9,1.28
257332,1430,1175,13,1755.42,568.12,1648.24,1.6
261514,1226,1322,14,523.75,165.78,500.85,1.35
267765,1534,1375,18,222.22,177.6,194.82,1.54
268425,1318,1322,7,328.55,264.9,248.98,2.09
280413,1375,1178,13,1540.5,368.15,1501.6,1.25
287218,1093,1106,11,398.91,111.5,387.22,1.28
289801,1534,1430,15,119.08,164.1,86.55,1.96
295472,1178,1175,3,534.86,228.19,488.11,1.55
296283,1426,1375,3,195.69,167.36,170.53,1.55
311457,1426,1430,0,106.08,178.24,76.77,1.84
317134,1106,1093,19,462.85,135.21,447.12,1.29
326863,1175,1178,5,576.16,163.73,547.6,1.41
333769,1110,1002,8,1379.05,486.39,1316.4,1.33
336308,1017,1089,9,780.5,146.03,768.47,1.19
362611,1534,1375,19,212.5,162.9,191.74,1.47
372353,1375,1178,14,1414.0,275.44,1386.9,1.22
381149,1175,1178,6,720.76,224.2,688.4,1.35
381848,1110,1002,9,1390.06,484.68,1332.79,1.31
398613,1093,1106,12,390.9,101.87,382.59,1.21
416055,1178,1175,4,759.58,351.32,677.57,1.64
421421,1430,1175,14,1818.51,721.05,1717.53,1.37
429797,1106,1093,20,476.73,230.96,451.37,1.37
440061,1426,1430,1,109.68,203.42,76.43,1.9
451973,1318,1322,8,301.82,195.57,243.64,1.96
460110,1017,1089,10,703.67,273.62,614.35,1.87
468862,1426,1375,4,193.43,195.64,165.44,1.54
471602,1226,1322,15,563.67,206.82,514.49,1.59
471658,1534,1430,16,112.26,166.45,82.68,1.92
474587,1534,1375,20,217.99,150.07,199.07,1.43
485211,1375,1178,15,1500.4,530.85,1432.45,1.33
486394,1226,1322,16,527.27,214.41,486.25,1.49
497920,1318,1322,9,289.15,161.91,242.12,1.87
508010,1534,1430,17,116.05,184.84,82.86,1.96
517693,1110,1002,10,1195.64,240.33,1176.07,1.19
523985,1093,1106,13,414.33,96.91,405.59,1.22
544919,1426,1430,2,112.54,199.83,75.74,1.97
545839,1106,1093,21,485.27,218.91,456.93,1.37
545965,1430,1175,15,1593.41,480.58,1537.63,1.29
556324,1175,1178,7,832.37,321.36,783.05,1.4
557071,1178,1175,5,557.88,252.27,515.27,1.46
575001,1017,1089,11,668.0,62.3,665.11,1.1
582612,1426,1375,5,238.38,229.74,198.36,1.66
585914,1017,1089,12,763.22,171.28,747.07,1.22
590998,1426,1430,3,115.08,214.51,74.56,2.02
594846,1430,1175,16,1566.32,550.08,1499.4,1.33
618906,1375,1178,16,1338.67,370.12,1298.55,1.26
622347,1175,1178,8,799.36,249.79,740.06,1.6
624233,1226,1322,17,470.09,178.66,407.12,1.94
635062,1534,1375,21,222.34,214.22,200.39,1.45
638697,1197,1226,8,1025.13,467.7,948.3,1.44
651597,1178,1175,6,750.65,334.93,680.33,1.58
655733,1106,1093,22,462.48,172.58,441.3,1.33
665662,1426,1375,6,357.2,348.57,266.94,1.99
667905,1110,1002,11,1157.6,270.73,1134.92,1.2
672348,1534,1430,18,121.67,161.94,87.27,2.01
674183,1093,1106,14,412.1,88.15,405.19,1.19
680929,1426,1002,13,4780.57,1961.31,4357.07,1.55
682808,1093,1534,4,2358.83,520.82,2303.57,1.24
691512,1318,1322,10,340.76,218.2,279.58,1.93
841741,1002,1430,15,3409.5,1610.75,3121.93,1.49
78452,1303,1182,0,722.44,146.78,709.2,1.21
83129,1464,1534,10,1550.58,334.47,1514.72,1.24
119854,1430,1178,20,1472.14,140.08,1465.66,1.1
127806,1093,1029,7,653.96,237.33,621.91,1.35
154360,1479,1411,8,164.94,202.49,77.9,4.22
194214,1175,1426,4,1622.5,631.92,1533.11,1.37
243302,1464,1430,22,1164.38,253.71,1137.88,1.24
278169,1160,1175,12,1467.85,199.1,1454.43,1.15
286913,1375,1426,12,289.32,198.95,262.39,1.49
290362,1375,1479,17,780.3,430.61,709.74,1.49
306272,1411,1426,16,1352.7,624.42,1234.75,1.52
311689,1375,1160,20,1791.0,488.42,1739.53,1.26
323654,1375,1534,14,310.86,220.55,268.71,1.66
334318,1303,1318,23,1264.0,223.88,1246.5,1.18
360310,1175,1534,6,1794.28,492.88,1736.54,1.28
378597,1175,1479,9,1012.32,508.93,930.34,1.48
379769,1534,1411,7,1119.06,679.57,959.3,1.7
398116,1207,1197,7,125.28,208.72,54.78,3.65
408854,1430,1534,4,219.58,287.18,128.12,2.69
453979,1411,1430,21,963.9,316.06,922.76,1.33
469006,1430,1479,7,851.2,400.27,781.15,1.48
481408,1318,1197,10,921.04,594.63,789.77,1.71
509552,1226,1197,17,1012.86,199.61,994.15,1.21
511535,1226,1207,3,1003.89,248.62,979.82,1.23
558490,1017,1110,21,802.67,403.38,711.39,1.7
645312,1318,1207,10,945.24,585.81,799.37,1.86
659434,1160,1375,14,1804.63,508.07,1735.17,1.32
695127,1017,1029,9,1128.5,336.25,1089.75,1.28
728098,1226,1207,17,1035.37,200.05,1016.82,1.21
802671,1029,1110,18,1212.5,149.85,1203.5,1.13
819872,1322,1207,14,760.95,284.41,715.39,1.41
846861,1411,1426,7,1012.98,436.16,941.17,1.44
15075,1175,1479,0,823.98,418.09,759.55,1.45
15164,1175,1160,3,1118.0,182.07,1103.4,1.18
16537,1375,1160,11,1523.53,274.44,1500.89,1.19
68555,1175,1426,19,2185.12,695.3,2089.04,1.34
72618,1375,1479,8,928.42,462.96,825.82,1.62
73928,1375,1534,5,208.24,208.18,179.93,1.53
141080,1002,1106,18,1595.53,323.12,1567.29,1.2
214023,1002,1534,8,3382.28,670.48,3316.75,1.22
224067,1002,1375,8,3870.39,773.97,3793.73,1.22
231165,1002,1430,5,2519.17,280.14,2502.87,1.12
252141,1093,1534,23,2194.57,180.23,2186.96,1.09
260945,1411,1178,15,749.2,146.26,738.19,1.18
308606,1426,1430,22,111.74,186.7,81.95,1.84
330069,1110,1029,15,939.53,339.29,889.23,1.38
348076,1093,1002,10,857.65,278.67,827.21,1.29
394819,1002,1029,0,1147.05,144.69,1138.35,1.13
410834,1303,1207,1,775.83,183.38,755.08,1.26
437035,1426,1029,17,2926.8,1120.97,2771.87,1.36
452451,1093,1110,6,873.5,408.25,790.08,1.56
488674,1464,1426,5,1356.18,348.86,1318.52,1.26
528764,1002,1029,18,1301.26,514.06,1238.55,1.33
546548,1303,1207,19,851.68,283.83,820.79,1.28
592069,1426,1175,22,1454.12,463.12,1413.09,1.24
651418,1106,1002,17,1399.34,267.97,1378.01,1.18
720947,1375,1464,12,1587.52,417.77,1539.11,1.27
744850,1175,1411,23,904.96,330.61,856.07,1.38
834035,1375,1029,20,3585.29,759.69,3511.0,1.22
13496,1178,1479,14,894.02,315.11,849.77,1.36
20733,1430,1534,21,181.46,223.66,121.2,2.28
21147,1534,1093,1,2915.33,633.22,2843.94,1.25
37532,1534,1479,10,954.92,317.87,908.64,1.36
59174,1430,1093,0,2600.56,809.77,2489.05,1.34
71080,1411,1175,22,736.03,448.87,700.02,1.29
73798,1110,1106,0,1048.84,272.53,1018.8,1.26
107240,1534,1160,13,1727.46,353.28,1693.93,1.22
108446,1322,1226,9,623.14,129.07,609.75,1.23
137261,1207,1322,23,649.09,287.46,582.81,1.69
205619,1197,1318,11,865.6,325.36,816.24,1.39
214738,1426,1093,15,2378.99,624.95,2315.09,1.25
228369,1110,1093,13,740.49,294.02,687.43,1.48
281782,1197,1322,3,695.5,292.1,628.2,1.6
323853,1106,1110,7,1118.56,437.25,1053.87,1.38
387458,1303,1182,1,655.86,115.72,645.85,1.19
393307,1029,1002,0,1502.91,555.98,1428.94,1.34
394524,1464,1534,11,1553.63,338.66,1520.31,1.23
425765,1093,1029,8,700.72,318.26,663.89,1.34
453662,1479,1411,9,126.06,178.64,54.8,4.4
467213,1430,1178,21,1514.44,291.23,1489.85,1.19
500373,1002,1093,7,815.7,414.73,767.61,1.35
505061,1110,1093,22,775.39,261.85,739.72,1.35
531257,1430,1375,6,226.67,226.51,167.72,2.03
580856,1197,1318,20,765.67,241.04,735.66,1.31
617717,1426,1175,12,1821.49,534.54,1761.08,1.28
634109,1106,1002,7,1335.01,203.32,1321.35,1.15
709963,1207,1226,14,939.67,258.61,910.11,1.27
53103,1178,1534,22,1770.67,516.61,1715.22,1.26
53663,1534,1093,12,2972.5,1084.66,2790.99,1.42
137628,1426,1175,11,1757.87,874.43,1657.95,1.34
163472,1106,1002,6,1402.62,249.78,1384.06,1.17
183485,1017,1110,17,848.95,545.92,727.02,1.7
305678,1318,1207,18,938.04,363.29,885.63,1.39
306411,1017,1029,17,1221.0,387.34,1160.97,1.38
373845,1160,1430,19,2018.71,983.92,1825.35,1.54
403016,1479,1426,4,890.02,388.6,821.54,1.48
420342,1002,1106,6,1201.57,467.15,963.11,2.4
436193,1110,1106,21,1298.71,267.79,1274.79,1.21
463306,1426,1479,16,890.15,425.09,836.01,1.37
490825,1426,1534,13,42.65,167.47,13.66,2.96
509362,1430,1093,21,2720.31,1215.51,2562.39,1.36
532266,1175,1178,22,588.46,166.62,560.49,1.48
532727,1178,1175,20,919.83,282.14,880.46,1.34
539919,1426,1375,20,224.26,145.47,206.63,1.4
600534,1411,1178,10,739.88,315.57,704.68,1.31
610357,1426,1430,17,130.4,263.94,88.46,1.98
616456,1197,1226,22,934.0,236.91,908.03,1.26
628522,1375,1464,1,1153.23,354.53,1117.73,1.26
657670,1175,1411,12,910.89,354.79,856.7,1.41
711367,1375,1411,20,670.14,296.87,626.53,1.4
743442,1178,1411,23,1023.6,393.91,967.94,1.37
749846,1430,1464,14,1248.11,368.66,1203.83,1.29
846653,1375,1093,20,2982.69,1037.6,2852.24,1.32
699,1426,1534,15,38.19,161.75,12.23,2.85
6119,1426,1160,21,1699.74,357.39,1670.86,1.19
92907,1002,1106,8,1346.26,155.54,1337.71,1.12
93070,1110,1106,23,1103.83,246.43,1080.5,1.22
101041,1426,1479,18,998.6,454.35,930.12,1.42
113756,1303,1211,21,1031.7,344.55,985.27,1.34
149576,1464,1375,10,1501.19,345.06,1464.08,1.25
187396,1464,1430,7,1388.37,399.93,1329.18,1.35
250892,1411,1426,6,822.69,285.1,787.47,1.32
252670,1375,1534,4,206.06,203.27,177.85,1.55
255501,1175,1426,18,2476.48,850.87,2320.7,1.46
257611,1175,1160,2,1294.22,287.48,1265.83,1.23
287732,1375,1160,10,1541.41,339.1,1511.74,1.21
290446,1375,1479,7,776.7,410.48,694.41,1.57
341045,1411,1479,21,77.78,197.61,37.77,3.67
367501,1318,1303,23,1394.16,240.95,1373.15,1.19
395433,1426,1411,16,860.87,420.28,807.93,1.37
406898,1411,1534,18,1706.52,953.78,1451.78,1.78
411315,1197,1207,21,51.47,79.81,28.43,2.65
416615,1002,1303,21,2240.73,146.27,2235.85,1.07
437420,1534,1464,12,1395.69,597.78,1313.6,1.37
451714,1017,1089,19,698.36,89.05,692.91,1.13
451833,1426,1430,10,164.74,287.22,115.04,2.09
459431,1375,1178,23,1297.44,295.43,1266.31,1.24
464553,1197,1226,15,966.13,199.09,946.76,1.22
466226,1178,1175,13,1088.33,429.2,985.84,1.66
479585,1110,1002,18,1415.38,325.36,1380.52,1.25
483126,1411,1178,3,781.76,303.98,740.79,1.35
492335,1093,1534,11,2806.76,1041.66,2659.23,1.36
512195,1430,1175,23,1395.33,428.44,1350.91,1.26
513584,1426,1002,20,2842.17,375.02,2817.2,1.14
522749,1093,1106,21,422.46,164.51,405.93,1.29
543530,1318,1322,17,338.48,172.74,291.42,1.82
551037,1175,1178,15,963.17,414.7,900.46,1.41
552352,1426,1375,13,313.36,230.52,276.37,1.58
580444,1175,1479,6,955.69,454.32,891.45,1.43
584471,1534,1411,4,755.91,517.15,672.65,1.51
595428,1411,1426,13,1141.35,613.33,1058.41,1.42
618875,1303,1318,20,1553.44,386.8,1508.27,1.27
620319,1375,1479,14,723.65,320.41,679.4,1.38
634066,1375,1160,17,1794.19,464.59,1743.67,1.26
636499,1375,1534,11,262.8,238.03,234.22,1.49
651493,1175,1534,3,1604.28,436.53,1551.36,1.29
664113,1207,1197,4,92.64,109.98,54.53,2.98
724186,1110,1017,19,519.48,255.01,473.99,1.5
758896,1106,1029,20,1051.79,188.62,1038.05,1.17
770755,1029,1093,13,843.54,524.98,761.08,1.49
823434,1426,1175,2,1352.52,272.48,1329.02,1.2
839051,1479,1178,17,686.28,152.87,671.78,1.22
7699,1534,1175,17,1854.46,838.54,1753.87,1.35
75359,1534,1375,8,594.58,534.73,425.05,2.23
78251,1534,1430,5,108.62,177.44,75.79,1.95
81763,1093,1106,1,385.79,109.52,373.23,1.29
104690,1106,1093,9,466.17,130.26,453.51,1.25
118886,1430,1175,3,1292.04,270.55,1269.13,1.2
119664,1534,1002,15,3475.2,959.05,3362.29,1.28
130537,1093,1426,13,2678.5,740.27,2590.77,1.28
187621,1430,1178,1,1487.57,676.3,1386.33,1.4
192812,1464,1426,13,1646.8,175.74,1637.88,1.11
198823,1017,1093,12,1341.25,324.65,1300.52,1.29
233167,1093,1110,14,653.69,411.63,551.52,1.77
260065,1207,1303,6,741.78,308.26,698.65,1.38
292908,1029,1002,18,1502.56,479.52,1437.44,1.33
347224,1303,1182,19,872.5,247.22,842.89,1.29
417384,1197,1322,14,733.42,317.5,682.6,1.43
473653,1106,1110,18,1182.9,217.29,1163.12,1.2
505774,1479,1430,4,986.44,390.98,917.13,1.46
511221,1197,1303,5,773.33,316.87,726.59,1.39
558287,1375,1175,2,1190.77,273.51,1164.64,1.22
579451,1479,1375,7,1122.21,542.4,1007.13,1.59
586489,1322,1197,1,596.46,303.9,546.22,1.48
634996,1411,1178,18,791.78,220.44,767.72,1.27
642270,1002,1430,8,3683.52,658.17,3625.46,1.2
756630,1322,1318,7,369.24,221.55,317.02,1.73
765408,1479,1175,0,702.83,225.26,677.62,1.29
765949,1175,1430,7,2177.64,1247.69,1982.95,1.47
792201,1430,1426,0,190.31,273.62,117.25,2.43
803975,1175,1375,10,1817.47,987.35,1698.67,1.38
807780,1375,1430,15,367.97,418.06,259.11,2.28
831584,1375,1411,12,669.91,413.49,615.07,1.43
5903,1534,1178,11,1600.43,417.68,1555.4,1.26
67064,1175,1411,4,987.49,502.63,911.14,1.45
84071,1093,1017,0,898.14,200.19,871.84,1.29
129928,1375,1464,11,1410.5,182.43,1399.12,1.13
130405,1175,1411,22,899.0,326.62,852.45,1.37
213761,1093,1017,17,942.6,304.57,892.17,1.4
269887,1017,1110,9,783.89,368.85,712.41,1.53
308052,1375,1093,19,2890.82,836.48,2800.9,1.27
334441,1178,1411,22,1033.04,836.46,917.47,1.49
381567,1430,1464,13,1309.36,401.57,1255.04,1.33
410432,1197,1207,6,56.97,101.97,28.74,2.78
413935,1207,1197,16,88.88,140.61,41.56,3.72
416967,1375,1534,23,210.39,175.01,193.15,1.38
422050,1226,1303,15,1687.0,200.17,1675.68,1.12
447716,1175,1534,15,2098.25,617.61,2018.07,1.31
449510,1175,1479,18,986.33,537.42,895.48,1.58
468137,1534,1411,16,874.6,446.63,816.47,1.38
473511,1318,1303,8,1420.72,445.21,1360.91,1.33
495660,1411,1479,6,83.61,182.87,33.58,3.93
500340,1426,1411,1,607.53,128.93,597.1,1.19
511875,1175,1160,21,1431.57,440.66,1379.86,1.29
512252,1411,1534,3,705.97,326.16,662.7,1.38
564132,1426,1175,19,1628.2,380.06,1592.42,1.22
599305,1106,1002,14,1475.2,322.49,1449.79,1.19
652163,1464,1430,17,1257.48,330.52,1219.14,1.28
673374,1375,1426,7,220.29,142.62,202.13,1.42
701911,1464,1375,20,1643.34,334.06,1611.43,1.22
736690,1160,1175,7,2031.0,574.74,1959.27,1.3
745533,1002,1093,18,971.42,333.61,926.37,1.34
796895,1178,1375,7,1750.29,246.61,1733.77,1.15
802449,1430,1375,17,170.96,234.72,133.18,1.76
18967,1426,1534,19,29.8,89.08,11.45,2.62
29760,1426,1479,22,709.62,228.37,691.87,1.22
53331,1002,1106,12,1451.6,282.97,1430.91,1.17
117992,1160,1175,13,1836.45,709.24,1729.98,1.39
188439,1303,1318,0,1579.69,520.85,1507.21,1.35
196481,1464,1430,23,1142.65,372.54,1094.4,1.32
203999,1375,1426,13,294.17,197.17,261.47,1.57
208610,1175,1426,5,1614.38,519.94,1553.82,1.3
223892,1534,1411,22,668.97,208.24,654.07,1.2
225956,1534,1464,3,1150.61,379.03,1098.64,1.34
238670,1197,1207,12,42.34,68.18,24.59,2.46
263989,1411,1534,9,1163.2,415.16,1096.75,1.41
265114,1426,1411,7,1168.35,736.9,981.36,1.77
272700,1411,1479,12,59.72,122.92,24.99,3.82
277514,1318,1303,14,1606.84,410.78,1563.08,1.25
290666,1207,1197,22,82.86,163.59,43.3,3.06
321130,1226,1303,21,2210.5,947.07,2063.5,1.41
332035,1175,1534,21,1668.78,418.48,1627.97,1.24
370538,1534,1093,22,2754.0,732.6,2666.08,1.28
376872,1197,1318,3,693.14,288.04,649.0,1.41
391476,1318,1226,16,899.11,319.62,845.65,1.42
406835,1110,1093,5,634.21,318.67,576.67,1.51
466075,1002,1430,11,4163.5,2017.82,3751.56,1.56
480541,1411,1178,21,722.26,144.14,711.03,1.18
559265,1430,1002,17,3743.94,977.19,3622.66,1.29
583011,1178,1375,0,1355.29,250.07,1333.0,1.2
587734,1430,1375,10,214.41,278.77,159.43,2.02
635186,1002,1093,11,868.62,334.35,830.29,1.31
689858,1430,1464,22,1032.31,281.61,996.23,1.31
786950,1002,1534,14,3086.56,1072.47,2935.86,1.35
44318,1534,1375,7,512.09,496.29,358.6,2.23
54281,1430,1175,2,1288.53,240.02,1268.52,1.19
90660,1093,1426,12,3642.42,1190.47,3468.77,1.36
106194,1106,1093,8,464.19,144.49,446.71,1.31
117305,1093,1106,0,406.5,145.59,385.98,1.38
123061,1534,1430,4,106.43,194.52,66.92,2.09
163426,1093,1029,10,747.28,716.6,662.59,1.47
191034,1464,1534,13,1618.0,162.41,1610.31,1.1
191814,1479,1411,11,120.0,209.36,52.39,4.24
254284,1430,1178,23,1443.15,401.83,1396.9,1.28
286254,1178,1479,6,825.66,308.14,748.05,1.74
292848,1430,1534,13,200.71,308.67,117.65,2.52
304658,1318,1197,19,858.31,286.27,816.89,1.36
314279,1430,1479,16,843.28,447.13,780.32,1.42
334809,1430,1160,19,1930.91,492.75,1873.36,1.27
357628,1375,1029,12,3598.83,694.93,3529.01,1.22
449126,1178,1479,19,802.92,257.54,770.41,1.32
488934,1197,1322,0,510.29,183.94,483.29,1.37
606898,1479,1426,11,1272.51,680.55,1170.75,1.45
620789,1303,1197,3,1050.63,409.62,963.41,1.54
640547,1322,1303,2,1339.43,421.74,1287.22,1.31
752264,1534,1029,18,3652.44,1138.18,3493.2,1.34
765129,1110,1029,1,495.77,101.21,487.35,1.19
841318,1207,1303,5,712.73,320.45,672.2,1.36
1307,1303,1182,18,785.0,159.21,768.11,1.24
37141,1029,1002,17,1435.7,436.48,1377.04,1.33
201818,1106,1002,3,1455.63,475.21,1395.2,1.32
255084,1534,1175,23,1384.17,281.66,1361.97,1.19
264565,1426,1175,8,2159.37,857.9,1998.37,1.48
283527,1479,1178,23,680.98,200.25,661.0,1.25
324412,1303,1303,23,432.64,618.91,202.92,3.55
398412,1375,1464,17,1585.24,468.71,1528.92,1.29
421415,1303,1197,1,1055.0,429.64,973.2,1.49
465311,1017,1029,22,1404.33,556.67,1312.64,1.43
472836,1318,1207,23,814.3,256.44,779.26,1.34
492247,1322,1303,0,1190.73,274.41,1162.57,1.24
518163,1479,1426,9,1284.98,455.65,1207.98,1.42
545304,1197,1303,10,845.05,285.41,808.4,1.33
545593,1375,1175,7,1514.07,464.03,1453.06,1.32
571116,1479,1375,12,933.61,405.16,873.02,1.41
592202,1322,1197,6,644.09,324.84,581.75,1.57
612872,1479,1430,9,1412.61,732.57,1277.47,1.54
656859,1426,1534,17,32.13,126.05,11.45,2.68
692836,1002,1106,10,1352.65,154.19,1344.8,1.11
710454,1426,1160,23,1698.57,466.46,1643.32,1.28
730941,1426,1479,20,850.65,314.67,821.89,1.26
750464,1093,1002,1,918.74,311.92,881.56,1.31
802192,1110,1029,6,698.88,226.71,668.97,1.33
51582,1207,1303,11,820.61,366.73,776.25,1.35
124890,1318,1303,16,1576.59,424.89,1529.64,1.27
160483,1534,1464,5,1008.9,191.44,992.52,1.19
173160,1002,1303,14,2291.38,248.09,2278.44,1.11
193821,1426,1411,9,1301.63,735.81,1146.9,1.63
200178,1197,1207,14,41.1,66.74,23.84,2.4
209653,1175,1534,23,1613.66,480.28,1558.65,1.28
210735,1411,1479,14,77.82,164.63,34.18,3.78
228115,1411,1534,11,1033.69,407.8,978.37,1.36
244197,1175,1430,9,1951.0,609.46,1873.84,1.31
