,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
490169,1110,1002,7,1300.87,303.76,1267.15,1.26
502490,1178,1175,2,657.63,375.06,567.87,1.74
505005,1534,1375,17,218.7,201.86,190.49,1.53
524648,1002,1029,19,1338.1,458.49,1279.04,1.33
543946,1093,1110,7,709.05,292.37,650.0,1.53
568129,1464,1426,6,1402.88,500.58,1052.75,3.59
623532,1303,1207,20,1008.16,365.31,954.12,1.38
638786,1303,1207,21,1072.17,449.48,998.79,1.44
688594,1093,1110,8,609.72,473.2,516.13,1.69
700033,1464,1426,7,1580.67,492.08,1506.88,1.36
720354,1002,1029,20,1353.05,466.62,1300.29,1.29
778795,1002,1029,21,1253.83,314.42,1227.14,1.21
780164,1464,1426,8,1627.79,386.05,1579.51,1.28
795401,1093,1110,9,609.17,451.99,519.81,1.67
803729,1303,1207,22,884.53,413.68,827.09,1.39
823488,1017,1093,7,985.43,708.44,839.67,1.64
21996,1303,1207,23,980.64,591.25,856.65,1.62
67680,1017,1093,8,1051.29,322.89,1002.99,1.36
79683,1464,1426,9,1712.82,451.92,1664.43,1.26
105363,1002,1029,22,1208.11,274.67,1183.54,1.21
105949,1093,1110,10,592.56,445.11,486.03,1.84
122070,1017,1110,22,796.65,349.99,738.11,1.46
167874,1226,1207,4,1100.38,306.1,1054.63,1.35
279987,1318,1207,3,845.74,548.46,740.54,1.61
319558,1226,1207,10,1216.92,361.9,1169.43,1.32
353027,1322,1197,23,641.66,339.81,574.29,1.57
384650,1534,1426,11,27.87,138.33,11.66,2.42
397016,1207,1322,5,894.42,368.05,812.22,1.57
436855,1411,1175,4,817.34,288.74,776.94,1.36
474582,1207,1322,6,687.4,166.96,665.45,1.3
543088,1534,1426,12,30.49,151.16,12.15,2.49
547033,1411,1175,5,759.76,259.01,715.59,1.51
581717,1207,1322,7,680.0,230.54,644.84,1.38
641929,1411,1175,6,744.33,232.46,718.68,1.28
647467,1534,1426,13,32.17,160.14,12.55,2.54
689939,1411,1175,7,733.57,277.12,706.09,1.27
726485,1207,1322,8,616.18,165.47,594.07,1.31
766913,1534,1426,14,31.28,109.96,13.17,2.62
779161,1534,1411,19,956.66,381.48,901.53,1.39
811149,1411,1534,6,817.78,281.85,782.62,1.32
835015,1197,1207,9,43.04,74.19,25.05,2.4
850046,1175,1534,18,2446.67,824.15,2310.25,1.41
1107,1175,1479,21,953.09,476.51,890.43,1.44
10163,1207,1197,19,70.82,105.33,35.87,3.39
15433,1426,1411,4,755.6,534.02,670.02,1.52
19421,1318,1303,11,1528.25,294.39,1500.58,1.21
26092,1534,1464,0,1100.96,501.08,1033.57,1.37
30409,1411,1479,9,62.02,136.7,22.52,3.92
63594,1479,1178,6,685.22,225.54,645.09,1.45
83778,1178,1375,14,1752.63,248.58,1735.06,1.15
138382,1534,1175,6,1553.46,426.37,1505.43,1.27
200755,1426,1175,3,1281.56,219.41,1267.31,1.15
227256,1534,1175,18,1884.52,667.65,1788.63,1.36
240902,1479,1178,18,728.89,202.18,707.01,1.26
267272,1106,1002,2,1452.89,395.26,1410.34,1.26
267995,1479,1178,22,623.31,136.68,612.74,1.19
346258,1534,1175,22,1433.08,427.77,1398.21,1.22
363556,1426,1175,7,1798.35,722.41,1675.51,1.44
435687,1110,1017,0,525.95,197.98,486.82,1.5
437713,1197,1322,23,579.28,221.24,548.01,1.37
480811,1106,1029,1,902.26,134.6,893.09,1.15
486767,1375,1411,7,801.12,416.42,713.89,1.59
89149,1110,1002,0,1486.0,620.45,1372.8,1.47
115430,1534,1430,7,294.37,330.58,183.4,2.6
127331,1534,1375,10,313.62,276.48,250.7,1.88
132586,1534,1002,17,3432.96,831.44,3340.1,1.26
143508,1430,1175,5,1471.09,416.92,1426.46,1.26
151577,1106,1093,11,487.91,173.32,471.23,1.28
152405,1093,1106,3,424.69,171.61,385.57,1.66
187932,1226,1322,6,471.5,136.73,454.66,1.3
199079,1106,1093,12,515.85,257.04,491.21,1.32
201600,1093,1426,16,4012.78,1822.22,3693.38,1.47
217680,1534,1430,8,309.55,318.83,204.99,2.48
220423,1534,1375,11,285.89,252.04,238.0,1.76
223912,1226,1322,7,501.33,221.74,458.98,1.51
226562,1430,1175,6,1446.27,310.75,1416.24,1.22
228811,1093,1106,4,404.39,214.35,365.42,1.58
238190,1318,1322,0,372.98,273.96,308.95,1.8
243218,1017,1089,2,882.5,367.79,819.14,1.45
283959,1534,1002,18,3358.42,489.56,3326.69,1.14
334428,1534,1430,9,205.74,199.32,149.39,2.21
363411,1106,1093,13,538.4,143.2,521.87,1.3
365532,1226,1322,8,527.17,237.36,485.64,1.47
378572,1430,1175,7,1472.63,388.83,1429.58,1.26
380583,1318,1322,1,445.76,420.61,329.53,2.19
402425,1534,1002,19,3129.95,578.18,3077.36,1.2
404201,1534,1375,12,283.88,242.16,239.56,1.71
409998,1093,1106,5,402.38,134.98,377.31,1.48
416060,1226,1322,9,588.5,116.18,575.46,1.25
442039,1534,1430,10,132.69,153.14,99.87,1.99
466775,1093,1106,6,397.45,183.64,362.26,1.61
469754,1106,1093,14,530.26,156.84,512.24,1.29
477493,1197,1226,0,744.0,77.99,739.68,1.12
485466,1534,1375,13,269.13,230.76,229.49,1.66
485858,1175,1178,0,542.59,235.59,482.64,1.78
488121,1534,1002,20,2665.36,373.04,2636.91,1.16
490090,1318,1322,2,376.78,159.02,338.62,1.63
495067,1430,1175,8,1853.88,594.25,1765.69,1.36
537398,1207,1303,8,841.73,334.18,795.52,1.37
553466,1029,1002,20,1819.5,694.46,1721.81,1.37
625897,1303,1182,21,874.63,249.73,845.13,1.29
638998,1175,1479,13,1070.41,622.13,972.6,1.5
641353,1318,1303,3,1195.78,280.15,1164.22,1.26
646467,1534,1411,11,878.15,479.46,824.56,1.37
650245,1197,1207,1,48.82,76.85,27.33,2.55
652233,1375,1534,18,385.99,256.89,321.08,1.81
659162,1175,1160,16,1558.0,497.13,1494.97,1.32
659735,1175,1534,10,1996.08,1179.17,1869.75,1.35
679132,1207,1197,11,124.21,147.48,57.82,4.06
710359,1375,1479,21,623.32,332.01,585.5,1.36
723432,1411,1426,20,1173.28,479.39,1095.9,1.43
743885,1411,1479,1,61.22,102.31,28.03,3.89
769195,1175,1479,19,981.27,592.76,904.45,1.45
772972,1426,1411,2,661.32,218.25,637.18,1.28
777330,1197,1207,7,50.5,86.13,27.18,2.67
782980,1534,1411,17,952.41,502.69,886.56,1.4
799084,1318,1303,9,1397.22,319.16,1364.69,1.24
802008,1411,1479,7,74.48,153.78,32.0,3.61
804913,1175,1534,16,2171.23,784.27,2054.53,1.38
805882,1175,1160,22,1228.26,162.77,1218.51,1.13
807955,1207,1197,17,68.63,101.52,37.5,3.19
823143,1411,1534,4,715.98,360.94,673.08,1.35
15118,1175,1430,10,1764.18,432.02,1715.5,1.26
37926,1375,1430,18,376.96,378.42,257.95,2.36
42327,1322,1318,10,330.63,248.99,268.54,1.89
51908,1175,1375,13,1757.43,604.18,1674.67,1.35
70167,1479,1175,3,773.17,318.35,727.46,1.39
79041,1430,1426,3,209.05,350.03,120.73,2.54
107377,1411,1375,1,523.68,230.81,497.53,1.33
123244,1430,1534,2,155.77,207.82,94.22,2.52
125076,1411,1430,19,1251.42,656.97,1106.45,1.63
144564,1411,1375,22,616.36,255.59,583.82,1.35
144605,1318,1197,8,967.82,528.91,888.52,1.45
186061,1430,1479,5,700.3,322.36,659.94,1.36
